hsa-miR-196b-5p,HOXA9
hsa-miR-101-3p,SNHG1
hsa-miR-29a-3p,ROBO1
hsa-miR-22-3p,TCF7
hsa-miR-20a-5p,KIF26B
hsa-miR-509-3-5p,PLK1
hsa-miR-92a-3p,LASP1
hsa-miR-590-5p,ILF3
hsa-miR-328-3p,PLCE1
hsa-miR-138-5p,EZH2
hsa-miR-188-5p,CEMIP
hsa-miR-200b-3p,ATG12
hsa-miR-101-3p,SOX9
hsa-miR-126-5p,CRK
hsa-miR-153-3p,HMGB1
hsa-miR-205-5p,PRDX2
hsa-miR-153-3p,PRDX2
hsa-miR-210-3p,BDNF
hsa-miR-210-3p,PTPN1
hsa-miR-210-3p,P4HB
hsa-miR-31-5p,EMSY
hsa-miR-22-3p,MECOM
hsa-miR-100-5p,ZBTB7A
hsa-miR-589-5p,PTGS2
hsa-miR-183-5p,BTRC
hsa-miR-520b,CXCL8
hsa-miR-363-3p,REG4
hsa-miR-125b-5p,LIN28A
hsa-let-7a-5p,LIN28A
hsa-miR-29b-3p,HDAC4
hsa-miR-21-5p,MYD88
hsa-miR-21-5p,IRAK1
hsa-miR-155-5p,CEBPB
hsa-miR-146b-5p,PDGFRA
hsa-miR-630,IGF1R
hsa-miR-150-3p,IGF1R
hsa-miR-210-3p,PTPN2
hsa-miR-130a-3p,TNF
hsa-miR-27a-3p,GSK3B
hsa-miR-125b-5p,TNF
hsa-miR-155-5p,FOS
hsa-miR-34a-5p,FOS
hsa-miR-130a-3p,PPARG
hsa-miR-142-5p,SOCS1
hsa-miR-205-5p,PTEN
hsa-miR-205-5p,PHLPP2
hsa-miR-520b,LAMTOR5
hsa-miR-490-3p,PAPPA
hsa-miR-125b-5p,MAPK14
hsa-miR-199a-5p,CAV1
hsa-miR-199a-5p,GSK3B
hsa-miR-199a-5p,FZD4
hsa-miR-199a-5p,WNT2
hsa-miR-199a-5p,JAG1
hsa-miR-9-5p,PRDM1
hsa-miR-200c-3p,ZEB1
hsa-miR-150-5p,ZEB1
hsa-miR-1236-3p,TCEAL1
hsa-miR-1180-3p,TCEAL1
hsa-miR-370-3p,TCEAL1
hsa-miR-449a,CDK6
hsa-miR-99a-5p,MTOR
hsa-miR-139-5p,CXCR4
hsa-miR-429,RBBP4
hsa-miR-373-3p,CD44
hsa-miR-139-5p,JUN
hsa-miR-223-3p,CARM1
hsa-miR-200b-3p,SUZ12
hsa-miR-1246,DYRK1A
hsa-miR-302a-3p,CDK2
hsa-miR-302a-3p,BMI1
hsa-miR-4448,CCDC88A
hsa-miR-199b-5p,KIT
hsa-miR-199b-5p,GRB10
hsa-miR-199b-5p,TAF9B
hsa-miR-199b-5p,NLK
hsa-miR-199b-5p,CCNL1
hsa-let-7i-5p,NEUROG1
hsa-let-7i-5p,ASCL1
hsa-miR-302b-3p,NFIA
hsa-miR-484,FIS1
hsa-miR-155-5p,PKIA
hsa-miR-1-3p,PAX3
hsa-miR-206,PAX3
hsa-miR-210-3p,BTK
hsa-miR-425-5p,BTK
hsa-miR-1253,BTK
hsa-miR-4269,BTK
hsa-miR-4667-3p,BTK
hsa-miR-106b-5p,SETD2
hsa-miR-7-5p,RELA
hsa-miR-7-5p,FOS
hsa-miR-218-5p,RPS6KA3
hsa-miR-218-5p,RPS6KB1
hsa-miR-21-5p,PDCD4
hsa-miR-204-5p,CDC42
hsa-miR-218-5p,POU2F2
hsa-miR-224-5p,MTOR
hsa-miR-21-5p,BMI1
hsa-miR-203a-3p,HOXD3
hsa-miR-203a-3p,SNAI1
hsa-miR-34c-5p,IL6R
hsa-miR-34b-3p,IL6R
hsa-miR-34a-5p,IL6R
hsa-miR-21-5p,BCL2
hsa-miR-34a-5p,HOTAIR
hsa-miR-100-5p,HOXA1
hsa-miR-101-3p,CPEB1
hsa-miR-433-3p,AZIN1
hsa-miR-186-5p,HIF1A
hsa-miR-622,CXCR4
hsa-miR-29c-3p,MCL1
hsa-miR-29a-3p,SETDB1
hsa-miR-21-5p,SERPINB5
hsa-miR-145-5p,CDK6
hsa-miR-222-3p,VGLL4
hsa-miR-34a-5p,SIRT7
hsa-miR-145-5p,E2F3
hsa-miR-329-3p,MCAM
hsa-miR-338-5p,BMI1
hsa-miR-7-5p,SERPINB5
hsa-miR-103a-3p,SERPINB5
hsa-miR-107,SERPINB5
hsa-miR-337-3p,MZF1
hsa-miR-558,HPSE
hsa-miR-491-5p,WNT3A
hsa-miR-135a-5p,PTK2
hsa-miR-128-3p,SNAI1
hsa-miR-487a-3p,SPRED2
hsa-miR-487a-3p,PIK3R1
hsa-miR-520d-5p,PPIB
hsa-miR-132-3p,SIRT1
hsa-miR-29b-3p,KDM2A
hsa-miR-221-5p,MBD2
hsa-miR-224-5p,MBD2
hsa-miR-205-5p,ZEB1
hsa-miR-205-5p,ZEB2
hsa-miR-146a-5p,BRCA1
hsa-miR-449a,BCL2
hsa-miR-449a,NOTCH1
hsa-miR-21-5p,SETD2
hsa-miR-515-5p,CYP19A1
hsa-miR-515-5p,GCM1
hsa-miR-515-5p,FZD5
hsa-miR-215-5p,KDM1B
hsa-miR-424-5p,HIF1A
hsa-miR-424-5p,CUL2
hsa-miR-424-5p,SPI1
hsa-miR-34a-5p,AXL
hsa-miR-490-3p,SMARCD1
hsa-miR-23b-3p,TUSC7
hsa-miR-487b-3p,SUZ12
hsa-miR-487b-3p,BMI1
hsa-miR-487b-3p,WNT5A
hsa-miR-487b-3p,MYC
hsa-miR-487b-3p,KRAS
hsa-miR-144-3p,MET
hsa-miR-125b-5p,Fas
hsa-miR-34c-5p,AXL
hsa-miR-34a-5p,KLF12
hsa-miR-205-5p,HMGB1
hsa-miR-486-5p,CIT
hsa-miR-1249-3p,PTCH1
hsa-miR-27a-3p,PHB
hsa-miR-224-5p,RASSF8
hsa-miR-133b,MCL1
hsa-miR-27a-3p,SPRY2
hsa-miR-613,NR1H3
hsa-miR-130b-3p,ZEB1
hsa-miR-193b-3p,RAD51
hsa-miR-133a-3p,BCL2L1
hsa-miR-133a-3p,MCL1
hsa-miR-196b-5p,ETS2
hsa-miR-425-5p,PTEN
hsa-miR-135b-5p,SMAD5
hsa-miR-144-3p,EZH2
hsa-miR-133b,FOXL2
hsa-miR-320a,BANP
hsa-miR-135b-5p,ACVR1B
hsa-miR-135b-5p,BMPR2
hsa-miR-135b-5p,TGFBR1
hsa-miR-24-2-5p,SPRY2
hsa-miR-23a-3p,SPRY2
hsa-miR-133b,BCL2L1
hsa-miR-27a-3p,HIF1A
hsa-miR-448,KDM2B
hsa-miR-151a-5p,TP53
hsa-miR-584-3p,ROCK1
hsa-miR-125b-5p,DKK3
hsa-miR-135a-5p,MMP11
hsa-miR-135a-5p,RBAK
hsa-miR-155-5p,JARID2
hsa-miR-155-5p,TRIM32
hsa-miR-155-5p,PSIP1
hsa-miR-155-5p,HOMEZ
hsa-miR-155-3p,TP53
hsa-miR-223-3p,TAL1
hsa-miR-181a-5p,RGS5
hsa-miR-92a-3p,RGS5
hsa-miR-20a-5p,RGS5
hsa-miR-27a-3p,IFNG
hsa-miR-27a-3p,GRB2
hsa-miR-27a-3p,SEMA7A
hsa-miR-29a-3p,DNMT3B
hsa-miR-200a-3p,DNMT1
hsa-miR-200a-3p,EZH2
hsa-miR-200b-3p,DNMT1
hsa-miR-200b-3p,EZH2
hsa-miR-429,DNMT1
hsa-miR-429,EZH2
hsa-miR-29a-3p,DNMT1
hsa-miR-124-3p,CDK6
hsa-miR-155-5p,DET1
hsa-miR-155-5p,TBRG1
hsa-miR-9-5p,CBX7
hsa-miR-22-3p,RAB5B
hsa-miR-22-3p,TACC1
hsa-miR-15a-5p,VEGFA
hsa-miR-186-5p,VEGFA
hsa-miR-125b-5p,PRDM1
hsa-miR-222-3p,PRDM1
hsa-miR-101-3p,PRDM1
hsa-miR-128-3p,MTOR
hsa-miR-128-3p,IGF1
hsa-miR-128-3p,RICTOR
hsa-miR-128-3p,PIK3R1
hsa-miR-31-5p,SOX4
hsa-miR-125a-3p,PRDM1
hsa-miR-125a-3p,IRF4
hsa-miR-125a-3p,XBP1
hsa-miR-320c,PRDM1
hsa-miR-320c,XBP1
hsa-miR-320c,IRF4
hsa-miR-320c,EZH2
hsa-miR-125a-3p,EZH2
hsa-miR-92a-3p,OSBPL2
hsa-miR-92a-3p,RFFL
hsa-miR-92a-3p,OSBPL8
hsa-miR-92a-3p,PCGF5
hsa-miR-92a-3p,MAPRE1
hsa-miR-221-5p,CDKN1C
hsa-miR-222-5p,CDKN1C
hsa-miR-221-5p,CDKN1B
hsa-miR-224-3p,ATG5
hsa-miR-224-3p,RB1CC1
hsa-miR-146a-5p,IRAK1
hsa-miR-92a-3p,IKZF1
hsa-miR-24-3p,HNF4A
hsa-miR-124-3p,IL6R
hsa-miR-629-5p,HNF4A
hsa-miR-302c-3p,CXCL8
hsa-miR-302d-3p,CXCL8
hsa-miR-126-3p,IGFBP2
hsa-miR-126-3p,PITPNC1
hsa-miR-126-3p,MERTK
hsa-miR-212-5p,MAF
hsa-miR-409-3p,FGB
hsa-miR-409-3p,FGA
hsa-miR-409-3p,FGG
hsa-miR-29a-3p,FGG
hsa-miR-29b-3p,FGG
hsa-miR-144-3p,FGG
hsa-miR-34a-5p,NOTCH1
hsa-miR-214-3p,XBP1
hsa-miR-185-5p,EPHB2
hsa-miR-124-3p,STAT3
hsa-miR-27a-3p,MRC1
hsa-miR-100-5p,IGF1R
hsa-miR-195-5p,WEE1
hsa-miR-181b-5p,BCL2
hsa-miR-29b-3p,TGFB2
hsa-miR-29b-3p,TGFB1
hsa-miR-29b-3p,BMP1
hsa-miR-200c-3p,TUBB3
hsa-miR-9-5p,ZC3H12A
hsa-miR-9-5p,IGF2BP3
hsa-miR-146a-5p,NFKB1
hsa-miR-202-5p,TNFSF13B
hsa-miR-106b-5p,TNFSF11
hsa-miR-1-3p,CCL2
hsa-miR-1-3p,VEGFA
hsa-miR-206,CCL2
hsa-miR-206,VEGFA
hsa-miR-31-5p,FOXO3
hsa-miR-29b-3p,MCL1
hsa-miR-21-5p,CCL20
hsa-miR-15b-5p,AGO2
hsa-miR-27b-3p,VEGFC
hsa-miR-200a-3p,AREG
hsa-miR-200b-3p,BTC
hsa-miR-200c-3p,BTC
hsa-miR-183-5p,ZFPM1
hsa-miR-200c-3p,ZFPM1
hsa-miR-124-3p,MYO10
hsa-miR-93-5p,TGFBR2
hsa-miR-382-5p,PTEN
hsa-miR-28-5p,IL34
hsa-miR-150-5p,CCR6
hsa-miR-218-5p,SOST
hsa-miR-218-5p,SFRP2
hsa-miR-214-3p,CCL5
hsa-miR-29b-3p,COL1A1
hsa-miR-128-3p,VEGFC
hsa-miR-26a-5p,HGF
hsa-miR-101-3p,VEGFC
hsa-miR-493-3p,DKK1
hsa-miR-125b-1-3p,SGPL1
hsa-miR-381-3p,ANO1
hsa-miR-26b-5p,HGF
hsa-miR-106b-5p,CYBB
hsa-miR-148b-3p,CYBB
hsa-miR-204-5p,CYBB
hsa-miR-145-5p,VPS51
hsa-miR-218-5p,VPS51
hsa-let-7d-5p,COL3A1
hsa-let-7d-5p,CRYGEP
hsa-miR-187-5p,ALDH1A3
hsa-miR-34a-5p,Crtc1
hsa-miR-155-5p,SOCS1
hsa-miR-1-3p,FABP3
hsa-miR-16-5p,APP
hsa-miR-16-5p,BACE1
hsa-miR-16-5p,NCSTN
hsa-miR-195-5p,CCL4
hsa-miR-27b-3p,CX3CL1
hsa-miR-373-3p,VEGFA
hsa-miR-302d-3p,VEGFA
hsa-miR-346,LIF
hsa-miR-147a,VEGFA
hsa-miR-134-5p,VEGFA
hsa-miR-140-5p,VEGFA
hsa-miR-29b-3p,VEGFA
hsa-miR-107,VEGFA
hsa-miR-16-5p,VEGFA
hsa-miR-93-5p,VEGFA
hsa-miR-17-5p,VEGFA
hsa-miR-150-5p,VEGFA
hsa-miR-195-5p,VEGFA
hsa-miR-15b-5p,VEGFA
hsa-miR-520g-3p,VEGFA
hsa-miR-378a-3p,VEGFA
hsa-miR-330-3p,VEGFA
hsa-miR-199a-5p,LIF
hsa-miR-383-5p,VEGFA
hsa-miR-125a-5p,VEGFA
hsa-miR-361-5p,VEGFA
hsa-miR-20a-5p,VEGFA
hsa-miR-20b-5p,VEGFA
hsa-miR-504-5p,VEGFA
